q,t,action,v
1,1.0,25.0,10.999999999855039
1,2.0,25.0,24.999999998709153
1,3.0,25.0,24.999999989069888
1,4.0,25.0,24.99999989953939
1,5.0,25.0,24.99999917924337
1,6.0,25.0,24.999992800380454
1,7.0,25.0,24.999937773383337
1,8.0,25.0,24.999449808871255
1,9.0,25.0,24.99759005199848
1,10.0,25.0,24.98893504131533
1,11.0,25.0,24.949681861370305
1,12.0,25.0,24.77344377024
1,13.0,25.0,23.9831408
1,14.0,25.0,20.436
1,15.0,5.0,5.0
2,1.0,25.0,21.999999987404546
2,2.0,25.0,49.99999990363256
2,3.0,25.0,49.99999924158672
2,4.0,25.0,49.999994425723536
2,5.0,25.0,49.99995851611389
2,6.0,25.0,49.9997007708527
2,7.0,25.0,49.997946155478814
2,8.0,25.0,49.98668534883354
2,9.0,25.0,49.949783374379294
2,10.0,25.0,49.81706644194729
2,11.0,25.0,49.353925260188774
2,12.0,25.0,47.91057294408
2,13.0,25.0,44.1906124
2,14.0,20.0,40.0
2,15.0,5.0,10.0
3,1.0,25.0,32.99999956915778
3,2.0,25.0,74.99999689305844
3,3.0,25.0,74.99997881960157
3,4.0,25.0,74.99986283953491
3,5.0,25.0,74.99912726868578
3,6.0,25.0,74.99493350429472
3,7.0,25.0,74.9724799578111
3,8.0,25.0,74.86690970783498
3,9.0,25.0,74.57881799145937
3,10.0,25.0,73.78120361373894
3,11.0,25.0,71.78566675592941
3,12.0,25.0,67.98756993248
3,13.0,25.0,63.839000000000006
3,14.0,20.0,60.0
3,15.0,5.0,15.0
4,1.0,25.0,43.999990393373096
4,2.0,25.0,99.99994032486572
4,3.0,25.0,99.99965036622389
4,4.0,25.0,99.998015245526
4,5.0,25.0,99.98965518044233
4,6.0,25.0,99.95112998684753
4,7.0,25.0,99.79719283988352
4,8.0,25.0,99.2483039584875
4,9.0,25.0,98.08934510740404
4,10.0,25.0,95.66191368436613
4,11.0,25.0,91.80228284655789
4,12.0,25.0,87.58023833612
4,13.0,25.0,83.0938532
4,14.0,20.0,76.53200000000001
4,15.0,5.0,20.0
5,1.0,25.0,54.9998575599685
5,2.0,25.0,124.99923353667434
5,3.0,25.0,124.99608162008042
5,4.0,25.0,124.9817799353195
5,5.0,25.0,124.92263181769488
5,6.0,25.0,124.70797154697837
5,7.0,25.0,124.02068028196223
5,8.0,25.0,122.2809428822104
5,9.0,25.0,119.52496139843736
5,10.0,25.0,115.58169792954588
5,11.0,25.0,111.16187195463549
5,12.0,25.0,106.31260076879998
5,13.0,20.0,100.1524692
5,14.0,20.0,87.637
5,15.0,5.0,25.0
6,1.0,25.0,65.99849686992158
6,2.0,25.0,149.99298530297827
6,3.0,25.0,149.970321910412
6,4.0,25.0,149.8838480985033
6,5.0,25.0,149.5978100489212
6,6.0,25.0,148.7623792889768
6,7.0,25.0,146.83723993550888
6,8.0,25.0,143.31930942951834
6,9.0,25.0,139.25550349232273
6,10.0,25.0,134.7109832893371
6,11.0,25.0,129.67310332628853
6,12.0,25.0,124.016216957
6,13.0,20.0,120.15355919999999
6,14.0,20.0,93.714
6,15.0,5.0,30.0
7,1.0,25.0,76.98853124768847
7,2.0,25.0,174.95491645434765
7,3.0,25.0,174.83554101746037
7,4.0,25.0,174.46560497259023
7,5.0,25.0,173.48121312045026
7,6.0,25.0,171.36743747869954
7,7.0,25.0,167.73774205759153
7,8.0,25.0,162.90938038833872
7,9.0,25.0,158.219077017058
7,10.0,25.0,153.15603481710914
7,11.0,25.0,147.85481789177442
7,12.0,25.0,143.82444643743997
7,13.0,20.0,139.2305968
7,14.0,15.0,105.0
7,15.0,5.0,35.0
8,1.0,25.0,87.93376043464627
8,2.0,25.0,199.77638464252172
8,3.0,25.0,199.31571346966916
8,4.0,25.0,198.174549822538
8,5.0,25.0,195.8623975960075
8,6.0,25.0,192.0946804339278
8,7.0,25.0,187.21315766185478
8,8.0,25.0,181.73719309681425
8,9.0,25.0,176.73947963951653
8,10.0,25.0,171.65210838188136
8,11.0,25.0,167.46391914729634
8,12.0,20.0,162.73979844932
8,13.0,20.0,155.8351651
8,14.0,15.0,120.0
8,15.0,5.0,40.0
9,1.0,25.0,98.70541785303462
9,2.0,25.0,224.1538689452662
9,3.0,25.0,222.85502281621285
