q,t,action,v
1,1.0,20.0,6.0
1,2.0,20.0,20.0
1,3.0,20.0,20.0
1,4.0,20.0,20.0
1,5.0,20.0,20.0
1,6.0,20.0,20.0
1,7.0,20.0,20.0
1,8.0,20.0,20.0
1,9.0,20.0,20.0
1,10.0,20.0,20.0
1,11.0,20.0,20.0
1,12.0,20.0,20.0
1,13.0,20.0,20.0
1,14.0,20.0,20.0
1,15.0,5.0,5.0
2,1.0,20.0,12.0
2,2.0,20.0,40.0
2,3.0,20.0,40.0
2,4.0,20.0,40.0
2,5.0,20.0,40.0
2,6.0,20.0,40.0
2,7.0,20.0,40.0
2,8.0,20.0,40.0
2,9.0,20.0,40.0
2,10.0,20.0,40.0
2,11.0,20.0,40.0
2,12.0,20.0,40.0
2,13.0,20.0,40.0
2,14.0,20.0,40.0
2,15.0,5.0,10.0
3,1.0,20.0,18.0
3,2.0,20.0,60.0
3,3.0,20.0,60.0
3,4.0,20.0,60.0
3,5.0,20.0,60.0
3,6.0,20.0,60.0
3,7.0,20.0,60.0
3,8.0,20.0,60.0
3,9.0,20.0,60.0
3,10.0,20.0,60.0
3,11.0,20.0,60.0
3,12.0,20.0,60.0
3,13.0,20.0,60.0
3,14.0,20.0,60.0
3,15.0,5.0,15.0
4,1.0,20.0,24.0
4,2.0,20.0,80.0
4,3.0,20.0,80.0
4,4.0,20.0,80.0
4,5.0,20.0,80.0
4,6.0,20.0,80.0
4,7.0,20.0,80.0
4,8.0,20.0,80.0
4,9.0,20.0,80.0
4,10.0,20.0,80.0
4,11.0,20.0,80.0
4,12.0,20.0,80.0
4,13.0,20.0,80.0
4,14.0,20.0,76.53200000000001
4,15.0,5.0,20.0
5,1.0,20.0,30.0
5,2.0,20.0,100.0
5,3.0,20.0,100.0
5,4.0,20.0,100.0
5,5.0,20.0,100.0
5,6.0,20.0,100.0
5,7.0,20.0,100.0
5,8.0,20.0,100.0
5,9.0,20.0,100.0
5,10.0,20.0,100.0
5,11.0,20.0,100.0
5,12.0,20.0,100.0
5,13.0,20.0,100.0
5,14.0,20.0,87.637
5,15.0,5.0,25.0
6,1.0,20.0,36.0
6,2.0,20.0,120.0
6,3.0,20.0,120.0
6,4.0,20.0,120.0
6,5.0,20.0,120.0
6,6.0,20.0,120.0
6,7.0,20.0,120.0
6,8.0,20.0,120.0
6,9.0,20.0,120.0
6,10.0,20.0,120.0
6,11.0,20.0,120.0
6,12.0,20.0,120.0
6,13.0,20.0,120.0
6,14.0,20.0,93.714
6,15.0,5.0,30.0
7,1.0,20.0,42.00000000000001
7,2.0,20.0,140.0
7,3.0,20.0,140.0
7,4.0,20.0,140.0
7,5.0,20.0,140.0
7,6.0,20.0,140.0
7,7.0,20.0,140.0
7,8.0,20.0,140.0
7,9.0,20.0,140.0
7,10.0,20.0,140.0
7,11.0,20.0,140.0
7,12.0,20.0,140.0
7,13.0,20.0,139.2051344
7,14.0,20.0,98.531
7,15.0,5.0,35.0
8,1.0,20.0,47.999999999999986
8,2.0,20.0,160.0
8,3.0,20.0,160.0
8,4.0,20.0,160.0
8,5.0,20.0,160.0
8,6.0,20.0,160.0
8,7.0,20.0,160.0
8,8.0,20.0,160.0
8,9.0,20.0,160.0
8,10.0,20.0,160.0
8,11.0,20.0,160.0
8,12.0,20.0,160.0
8,13.0,20.0,155.8351651
8,14.0,20.0,103.55799999999999
8,15.0,5.0,40.0
9,1.0,20.0,54.0
9,2.0,20.0,180.0
9,3.0,20.0,180.0
9,4.0,20.0,180.0
9,5.0,20.0,180.0
9,6.0,20.0,180.0
9,7.0,20.0,180.0
9,8.0,20.0,180.0
9,9.0,20.0,180.0
9,10.0,20.0,180.0
9,11.0,20.0,180.0
9,12.0,20.0,180.0
9,13.0,20.0,168.21264480000002
9,14.0,20.0,108.6795
9,15.0,5.0,45.0
10,1.0,20.0,60.0
10,2.0,20.0,200.0
10,3.0,20.0,200.0
10,4.0,20.0,200.0
10,5.0,20.0,200.0
10,6.0,20.0,200.0
10,7.0,20.0,200.0
10,8.0,20.0,200.0
10,9.0,20.0,200.0
10,10.0,20.0,200.0
10,11.0,20.0,200.0
10,12.0,20.0,199.81463734208
10,13.0,20.0,176.34379760000002
10,14.0,20.0,113.492
10,15.0,5.0,50.0
11,1.0,20.0,66.0
11,2.0,20.0,220.0
11,3.0,20.0,220.0
11,4.0,20.0,220.0
11,5.0,20.0,220.0
11,6.0,20.0,220.0
11,7.0,20.0,220.0
11,8.0,20.0,220.0
11,9.0,20.0,220.0
11,10.0,20.0,220.0
11,11.0,20.0,220.0
11,12.0,20.0,218.73269013643
11,13.0,20.0,182.2019449
11,14.0,20.0,118.45150000000001
11,15.0,5.0,55.0
12,1.0,20.0,71.99999999999999
12,2.0,20.0,239.99999999999997
12,3.0,20.0,240.0
12,4.0,20.0,240.0
12,5.0,20.0,240.0
12,6.0,20.0,240.0
12,7.0,20.0,240.0
12,8.0,20.0,240.0
12,9.0,20.0,240.0
12,10.0,20.0,240.0
12,11.0,20.0,240.0
12,12.0,20.0,235.52791105842002
12,13.0,20.0,187.38328439999998
12,14.0,20.0,123.47999999999999
12,15.0,5.0,60.0
13,1.0,20.0,78.0
13,2.0,20.0,260.0
13,3.0,20.0,260.0
13,4.0,20.0,260.0
13,5.0,20.0,260.0
13,6.0,20.0,260.0
13,7.0,20.0,260.0
13,8.0,20.0,260.0
13,9.0,20.0,260.0
13,10.0,20.0,260.0
13,11.0,20.0,259.9555871071624
13,12.0,20.0,248.64071602673
13,13.0,20.0,192.11729705
13,14.0,20.0,128.603
13,15.0,5.0,65.0
14,1.0,20.0,84.0
14,2.0,20.0,280.0
14,3.0,20.0,280.0
14,4.0,20.0,280.0
14,5.0,20.0,280.0
14,6.0,20.0,280.0
14,7.0,20.0,280.0
14,8.0,20.0,280.0
14,9.0,20.0,280.0
14,10.0,20.0,280.0
14,11.0,20.0,279.63914758491285
14,12.0,20.0,258.36001524775
14,13.0,20.0,196.78010425000002
14,14.0,20.0,133.6975
14,15.0,5.0,70.0
15,1.0,20.0,89.99999999999997
15,2.0,20.0,300.0
15,3.0,20.0,300.0
15,4.0,20.0,300.0
15,5.0,20.0,300.0
15,6.0,20.0,300.0
15,7.0,20.0,300.0
15,8.0,20.0,300.0
15,9.0,20.0,300.0
15,10.0,20.0,300.0
15,11.0,20.0,298.4287878834247
15,12.0,20.0,265.28310505689
15,13.0,20.0,201.91307175
15,14.0,20.0,138.6405
15,15.0,5.0,75.0
16,1.0,20.0,96.0
16,2.0,20.0,320.0
16,3.0,20.0,320.0
16,4.0,20.0,320.0
16,5.0,20.0,320.0
16,6.0,20.0,320.0
16,7.0,20.0,320.0
16,8.0,20.0,320.0
16,9.0,20.0,320.0
16,10.0,20.0,319.9892831689583
16,11.0,20.0,315.25550434358354
16,12.0,20.0,270.644889130055
16,13.0,20.0,207.09067295
