state,action,pr,v,x,y,v_int
"(0, 0)",0,1,41.73141647915571,0,0,41
"(0, 1)",0,1,51.62097602212828,0,1,51
"(0, 2)",0,1,61.05804566235535,0,2,61
"(0, 3)",0,1,69.55695863823587,0,3,69
"(0, 4)",0,1,76.73495292286918,0,4,76
"(0, 5)",0,1,82.4798913191783,0,5,82
"(0, 6)",-2,1,90.96371156093099,0,6,90
"(0, 7)",-2,1,96.68414566602303,0,7,96
"(0, 8)",-2,1,101.10743079969387,0,8,101
"(0, 9)",-2,1,104.50984865294645,0,9,104
"(0, 10)",-3,1,109.28141111306985,0,10,109
"(0, 11)",-3,1,111.88443862369749,0,11,111
"(0, 12)",-3,1,113.96446037530072,0,12,113
"(0, 13)",-3,1,115.66070700661899,0,13,115
"(0, 14)",-3,1,117.05641926940038,0,14,117
"(0, 15)",-4,1,119.67706359525306,0,15,119
"(0, 16)",-4,1,120.75117461040756,0,16,120
"(0, 17)",-4,1,121.62771198547561,0,17,121
"(0, 18)",-4,1,122.33807418712078,0,18,122
"(0, 19)",-4,1,122.90684105268873,0,19,122
"(0, 20)",-5,1,123.73512992004552,0,20,123
"(1, 0)",0,1,51.38707879280681,1,0,51
"(1, 1)",0,1,61.27651520986458,1,1,61
"(1, 2)",0,1,70.71295399669751,1,2,70
"(1, 3)",0,1,79.21017701565965,1,3,79
"(1, 4)",0,1,86.38497213150319,1,4,86
"(1, 5)",0,1,92.12502400731658,1,5,92
"(1, 6)",-2,1,97.88726614695496,1,6,97
"(1, 7)",-2,1,103.56509566269555,1,7,103
"(1, 8)",-2,1,107.93670121567936,1,8,107
"(1, 9)",-2,1,111.2814112375838,1,9,111
"(1, 10)",-3,1,114.24075480278728,1,10,114
"(1, 11)",-3,1,116.75866394675808,1,11,116
"(1, 12)",-3,1,118.75243662582227,1,12,118
"(1, 13)",-3,1,120.3632357941458,1,13,120
"(1, 14)",-3,1,121.67706366767064,1,14,121
"(1, 15)",-4,1,122.7812497038294,1,15,122
"(1, 16)",-4,1,123.77257966360395,1,16,123
"(1, 17)",-4,1,124.57469925660965,1,17,124
"(1, 18)",-4,1,125.22041799715636,1,18,125
"(1, 19)",-4,1,125.73512995529833,1,19,125
"(1, 20)",-5,1,125.53972136588233,1,20,125
"(2, 0)",0,1,59.98975949141916,2,0,59
"(2, 1)",0,1,69.8786474761041,2,1,69
"(2, 2)",0,1,79.31231440015219,2,2,79
"(2, 3)",0,1,87.80226683264226,2,3,87
"(2, 4)",0,1,94.96371192731769,2,4,94
"(2, 5)",0,1,100.68414603017288,2,5,100
"(2, 6)",-2,1,103.07646973029863,2,6,103
"(2, 7)",-2,1,108.6859503164932,2,7,108
"(2, 8)",-2,1,112.9790155836049,2,8,112
"(2, 9)",-2,1,116.24075492996005,2,9,116
"(2, 10)",-3,1,117.72387848925749,2,10,117
"(2, 11)",-3,1,120.14288137014597,2,11,120
"(2, 12)",-3,1,122.04001588496243,2,12,122
"(2, 13)",-3,1,123.55684751996435,2,13,123
"(2, 14)",-3,1,124.78124977474323,2,14,124
"(2, 15)",-4,1,124.84477353442422,2,15,124
"(2, 16)",-4,1,125.75773785066302,2,16,125
"(2, 17)",-4,1,126.48986374098497,2,17,126
"(2, 18)",-4,1,127.07510493969448,2,18,127
"(2, 19)",-4,1,127.53972139968928,2,19,127
"(2, 20)",-5,1,126.70742916941391,2,20,126
"(3, 0)",0,1,66.96862819844873,3,0,66
"(3, 1)",0,1,76.85618655142237,3,1,76
"(3, 2)",0,1,86.28321949355352,3,2,86
"(3, 3)",0,1,94.75612891585274,3,3,94
"(3, 4)",0,1,101.88726649499652,3,4,101
"(3, 5)",0,1,107.5650960063947,3,5,107
"(3, 6)",-2,1,106.85493989626642,3,6,106
"(3, 7)",-2,1,112.37222898164225,3,7,112
"(3, 8)",-2,1,116.56374184583458,3,8,116
"(3, 9)",-2,1,119.72387859047913,3,9,119
"(3, 10)",-3,1,120.17141036101026,3,10,120
"(3, 11)",-3,1,122.4837210789443,3,11,122
"(3, 12)",-3,1,124.2818471151079,3,12,124
"(3, 13)",-3,1,125.70618404636622,3,13,125
"(3, 14)",-3,1,126.84477359218954,3,14,126
"(3, 15)",-4,1,126.23483041864291,3,15,126
"(3, 16)",-4,1,127.07930458639207,3,16,127
"(3, 17)",-4,1,127.7512994064644,3,17,127
"(3, 18)",-4,1,128.28510460295,3,18,128
"(3, 19)",-4,1,128.70742919735778,3,19,128
"(3, 20)",-5,1,127.47653372465066,3,20,127
"(4, 0)",0,1,72.25167627269278,4,0,72
"(4, 1)",0,1,82.1368913953372,4,1,82
"(4, 2)",0,1,91.55234662089521,4,2,91
"(4, 3)",0,1,99.99599323563925,4,3,99
"(4, 4)",0,1,107.07646999729182,4,4,107
"(4, 5)",0,1,112.68595058046924,4,5,112
"(4, 6)",-2,1,109.6477848501504,4,6,109
"(4, 7)",-2,1,115.05449768244449,4,7,115
"(4, 8)",-2,1,119.12655078516316,4,8,119
"(4, 9)",-2,1,122.171410440431,4,9,122
"(4, 10)",-3,1,121.93468234655438,4,10,121
"(4, 11)",-3,1,124.13581096312555,4,11,124
"(4, 12)",-3,1,125.83592097268763,4,12,125
"(4, 13)",-3,1,127.17343028942213,4,13,127
"(4, 14)",-3,1,128.23483046538684,4,14,128
"(4, 15)",-4,1,127.18731857939865,4,15,127
"(4, 16)",-4,1,127.97387136516993,4,16,127
"(4, 17)",-4,1,128.59631779093843,4,17,128
"(4, 18)",-4,1,129.08835843814737,4,18,129
"(4, 19)",-4,1,129.47653374765136,4,19,129
"(4, 20)",-5,1,127.98840692722598,4,20,127
"(5, 0)",0,1,76.16131042541838,5,0,76
"(5, 1)",0,1,86.04318198178183,5,1,86
"(5, 2)",0,1,95.4422002870862,5,2,95
"(5, 3)",0,1,103.84466342533243,5,3,103
"(5, 4)",0,1,110.85494010003637,5,4,110
"(5, 5)",0,1,116.3722291836504,5,5,116
"(5, 6)",0,1,120.56374204317942,5,6,120
