,State,Value,Policy,x,y
0,"(0, 0)",421.41406339651115,0,0,0
1,"(0, 1)",431.3862840482948,0,0,1
2,"(0, 2)",441.24197218946506,0,0,2
3,"(0, 3)",450.8472905281615,0,0,3
4,"(0, 4)",460.08009943975486,0,0,4
5,"(0, 5)",468.87222252914205,0,0,5
6,"(0, 6)",477.21058681429304,0,0,6
7,"(0, 7)",485.11436256433944,0,0,7
8,"(0, 8)",492.9776586124255,-1,0,8
9,"(0, 9)",500.4734889577616,-1,0,9
10,"(0, 10)",507.88557295793953,-2,0,10
11,"(0, 11)",514.9912946982034,-2,0,11
12,"(0, 12)",521.7486335728241,-2,0,12
13,"(0, 13)",528.3489859712973,-3,0,13
14,"(0, 14)",534.7431851491206,-3,0,14
15,"(0, 15)",540.8337715567255,-3,0,15
16,"(0, 16)",546.640648863759,-3,0,16
17,"(0, 17)",552.180568321225,-3,0,17
18,"(0, 18)",557.6057791176681,-4,0,18
19,"(0, 19)",562.8136711228292,-4,0,19
20,"(0, 20)",567.7685087963158,-4,0,20
21,"(1, 0)",431.28781159340076,0,1,0
22,"(1, 1)",441.2599660357227,0,1,1
23,"(1, 2)",451.1153256353222,0,1,2
24,"(1, 3)",460.7198013562535,0,1,3
25,"(1, 4)",469.95110642720795,0,1,4
26,"(1, 5)",478.74109781948687,0,1,5
27,"(1, 6)",487.07684832579514,0,1,6
28,"(1, 7)",494.97765861242533,0,1,7
29,"(1, 8)",502.4734889577618,0,1,8
30,"(1, 9)",509.88557295793936,-1,1,9
31,"(1, 10)",516.9912946982038,-1,1,10
32,"(1, 11)",523.7486335728244,-1,1,11
33,"(1, 12)",530.3489859712971,-2,1,12
34,"(1, 13)",536.7431851491202,-2,1,13
35,"(1, 14)",542.8337715567258,-2,1,14
36,"(1, 15)",548.6406488637589,-2,1,15
37,"(1, 16)",554.1805683212251,-2,1,16
38,"(1, 17)",559.6057791176682,-3,1,17
39,"(1, 18)",564.8136711228294,-3,1,18
40,"(1, 19)",569.7685087963163,-3,1,19
41,"(1, 20)",574.4613776064065,-3,1,20
42,"(2, 0)",440.7613527846425,0,2,0
43,"(2, 1)",450.73320072136096,0,2,1
44,"(2, 2)",460.5870412939491,0,2,2
45,"(2, 3)",470.18762905509044,0,2,3
46,"(2, 4)",479.4120202374063,0,2,4
47,"(2, 5)",488.1922756158445,0,2,5
48,"(2, 6)",496.51622710047974,0,2,6
49,"(2, 7)",504.40390367194834,0,2,7
50,"(2, 8)",511.8855729579392,0,2,8
51,"(2, 9)",518.9912946982035,0,2,9
52,"(2, 10)",525.7486335728241,0,2,10
53,"(2, 11)",532.3489859712972,-1,2,11
54,"(2, 12)",538.7431851491203,-1,2,12
55,"(2, 13)",544.8337715567254,-1,2,13
56,"(2, 14)",550.6406488637591,-1,2,14
57,"(2, 15)",556.180568321225,-1,2,15
58,"(2, 16)",561.6057791176684,-2,2,16
59,"(2, 17)",566.8136711228294,-2,2,17
60,"(2, 18)",571.7685087963159,-2,2,18
61,"(2, 19)",576.4613776064069,-2,2,19
62,"(2, 20)",580.8575025182993,-2,2,20
63,"(3, 0)",449.5845296190914,0,3,0
64,"(3, 1)",459.5556017684938,0,3,1
65,"(3, 2)",469.4056011756154,0,3,2
66,"(3, 3)",478.9963729492318,0,3,3
67,"(3, 4)",488.2033610990673,0,3,4
68,"(3, 5)",496.9592536332234,0,3,5
69,"(3, 6)",505.25400258911236,0,3,6
70,"(3, 7)",513.1097773870763,0,3,7
71,"(3, 8)",520.5579991962173,0,3,8
72,"(3, 9)",527.628761013765,0,3,9
73,"(3, 10)",534.3489859712972,0,3,10
74,"(3, 11)",540.7431851491204,0,3,11
75,"(3, 12)",546.8337715567253,0,3,12
76,"(3, 13)",552.6406488637592,0,3,13
77,"(3, 14)",558.1805683212251,0,3,14
78,"(3, 15)",563.6057791176682,-1,3,15
79,"(3, 16)",568.8136711228292,-1,3,16
80,"(3, 17)",573.7685087963158,-1,3,17
81,"(3, 18)",578.4613776064065,-1,3,18
82,"(3, 19)",582.8575025182994,-1,3,19
83,"(3, 20)",586.9706687862304,-2,3,20
84,"(4, 0)",457.6750149733748,0,4,0
85,"(4, 1)",467.6446478786883,0,4,1
86,"(4, 2)",477.48752357313003,0,4,2
87,"(4, 3)",487.06010323449266,0,4,3
88,"(4, 4)",496.2348933217698,0,4,4
89,"(4, 5)",504.94589450508204,0,4,5
90,"(4, 6)",513.1872947912423,0,4,6
91,"(4, 7)",520.9857092147028,0,4,7
92,"(4, 8)",528.3753015812663,0,4,8
93,"(4, 9)",535.3868556657769,0,4,9
94,"(4, 10)",542.0466302681215,0,4,10
95,"(4, 11)",548.3780277203489,0,4,11
96,"(4, 12)",554.402538325643,0,4,12
97,"(4, 13)",560.1395772128938,0,4,13
98,"(4, 14)",565.605779117668,0,4,14
99,"(4, 15)",570.8136711228292,0,4,15
100,"(4, 16)",575.768508796316,0,4,16
101,"(4, 17)",580.4613776064067,0,4,17
102,"(4, 18)",584.8575025182996,0,4,18
103,"(4, 19)",588.9706687862306,-1,4,19
104,"(4, 20)",592.8925165609196,-1,4,20
105,"(5, 0)",465.6446478786884,1,5,0
106,"(5, 1)",475.4875235731302,1,5,1
107,"(5, 2)",485.0601032344924,1,5,2
108,"(5, 3)",494.4507383451516,0,5,3
109,"(5, 4)",503.5763020830716,0,5,4
110,"(5, 5)",512.2187725615678,0,5,5
111,"(5, 6)",520.3791255613146,0,5,6
112,"(5, 7)",528.0913365364855,0,5,7
113,"(5, 8)",535.3945072713975,0,5,8
